AÑO;MES;Fecha;Tipo día;GRAN BS.AS.;BUENOS AIRES;CENTRO;LITORAL;CUYO;NOROESTE;NORESTE;COMAHUE;PATAGONICA;DEMANDA TOTAL;TEMPERATURA REFERENCIA MEDIA GBA °C
2017;ene-17;01/01/2017;Domingo o Feriado;6352.7;1472.3;1134.4;1766.6;903.1;1602.1;1400.3;561.2;500.9;15693.7;31.3
2017;ene-17;02/01/2017;Lunes habiles;6617.9;1779.4;1363.5;1963.9;1091.8;1627.6;1585.6;638.8;540.6;17209.2;25.4
2017;ene-17;03/01/2017;Martes Habiles;6678.0;1889.0;1600.7;2036.3;1178.7;1806.5;1653.0;624.6;536.5;18003.4;25.5
2017;ene-17;04/01/2017;Miercoles habiles;6427.0;1840.6;1356.4;1756.6;1078.9;1759.9;1604.8;598.4;528.9;16951.5;27.0
2017;ene-17;05/01/2017;Jueves Habiles;5874.0;1770.9;1366.0;1848.4;1037.8;1403.5;1228.3;585.2;524.7;15638.8;21.9
2017;ene-17;06/01/2017;Viernes habiles;5781.1;1801.1;1367.4;1929.8;1135.5;1354.6;1218.7;615.5;550.9;15754.5;24.3
2017;ene-17;07/01/2017;Sabado o Semilaborable;6231.7;1862.7;1388.8;2042.9;1161.9;1425.7;1306.4;626.4;533.9;16580.5;29.1
2017;ene-17;08/01/2017;Domingo o Feriado;5188.8;1541.3;1177.8;1759.3;997.1;1504.2;1325.7;576.5;508.5;14579.2;25.9
2017;ene-17;09/01/2017;Lunes habiles;6257.5;1754.2;1355.7;1833.2;1192.8;1685.2;1569.1;595.5;531.7;16774.9;25.6
2017;ene-17;10/01/2017;Martes Habiles;5492.8;1709.1;1313.7;1745.4;1140.4;1289.8;1334.3;581.0;531.2;15137.7;22.4
2017;ene-17;11/01/2017;Miercoles habiles;6023.5;1787.6;1384.0;1929.8;1200.1;1394.0;1370.9;607.6;524.7;16222.1;25.6
2017;ene-17;12/01/2017;Jueves Habiles;6868.5;1931.5;1600.5;2210.3;1318.2;1591.1;1520.6;655.6;539.4;18235.7;27.2
2017;ene-17;13/01/2017;Viernes habiles;6779.0;1936.1;1586.0;2420.0;1246.4;1706.0;1621.9;653.8;533.1;18482.3;26.5
2017;ene-17;14/01/2017;Sabado o Semilaborable;5199.6;1743.8;1291.1;1932.7;1157.3;1464.7;1503.0;613.4;521.6;15427.3;23.0
2017;ene-17;15/01/2017;Domingo o Feriado;4729.1;1522.5;1025.1;1621.0;1016.5;1274.1;1337.4;585.0;494.5;13605.1;22.1
2017;ene-17;16/01/2017;Lunes habiles;5752.7;1800.8;1297.0;1749.3;1180.2;1466.1;1273.9;676.5;551.0;15747.4;24.1
2017;ene-17;17/01/2017;Martes Habiles;6502.1;1952.9;1477.4;2099.8;1239.8;1647.5;1351.1;683.4;545.7;17499.6;28.2
2017;ene-17;18/01/2017;Miercoles habiles;6486.6;1919.6;1616.4;2375.3;1243.6;1704.2;1466.4;676.8;541.5;18030.4;25.5
2017;ene-17;19/01/2017;Jueves Habiles;7047.7;2007.9;1719.6;2589.9;1314.1;1760.8;1513.1;714.6;538.2;19205.9;28.0
2017;ene-17;20/01/2017;Viernes habiles;7120.5;2083.8;1770.9;2572.3;1333.0;1784.5;1524.4;744.8;551.2;19485.4;28.4
2017;ene-17;21/01/2017;Sabado o Semilaborable;6652.4;2018.1;1591.8;2332.0;1270.0;1719.8;1525.0;725.3;538.8;18373.2;29.1
2017;ene-17;22/01/2017;Domingo o Feriado;6226.3;1751.6;1447.8;2098.0;1068.0;1542.5;1433.5;652.6;519.2;16739.4;27.8
2017;ene-17;23/01/2017;Lunes habiles;7235.3;1933.5;1605.9;2503.3;1061.7;1426.0;1484.8;707.9;557.4;18515.8;28.1
2017;ene-17;24/01/2017;Martes Habiles;7215.0;1896.7;1586.1;2575.9;1128.1;1534.9;1397.0;685.1;538.5;18557.3;26.6
2017;ene-17;25/01/2017;Miercoles habiles;5556.7;1707.7;1499.5;2245.0;1141.7;1573.0;1375.2;659.2;528.8;16286.7;21.4
2017;ene-17;26/01/2017;Jueves Habiles;5073.6;1682.1;1416.0;1924.5;1129.6;1479.2;1180.2;687.5;571.5;15144.2;18.6
2017;ene-17;27/01/2017;Viernes habiles;5261.2;1726.5;1427.5;1932.2;1198.1;1495.1;1063.2;733.6;597.4;15434.9;19.8
2017;ene-17;28/01/2017;Sabado o Semilaborable;5141.6;1727.7;1341.3;1800.3;1203.0;1497.7;1103.0;713.9;538.6;15067.1;24.4
2017;ene-17;29/01/2017;Domingo o Feriado;5403.0;1697.0;1261.3;1737.8;1146.9;1433.3;1192.1;684.5;532.4;15088.3;27.7
2017;ene-17;30/01/2017;Lunes habiles;7495.8;2014.3;1623.7;2458.6;1259.2;1650.3;1433.4;731.0;557.9;19224.2;29.7
2017;ene-17;31/01/2017;Martes Habiles;7190.9;2017.5;1729.0;2642.4;1252.5;1736.8;1345.9;709.6;549.2;19173.8;26.5
2017;feb-17;01/02/2017;Miercoles habiles;6489.7;1765.8;1459.9;2267.2;1173.6;1597.3;1308.8;660.5;545.0;17267.8;24.7
2017;feb-17;02/02/2017;Jueves Habiles;6189.6;1782.4;1481.5;2230.8;1140.3;1575.4;1322.8;685.2;566.3;16974.3;24.1
2017;feb-17;03/02/2017;Viernes habiles;6315.3;1821.8;1482.9;2342.9;1077.6;1605.7;1481.5;677.3;545.1;17350.2;24.7
2017;feb-17;04/02/2017;Sabado o Semilaborable;5802.9;1683.9;1161.8;1845.1;888.9;1348.3;1362.5;595.9;516.2;15205.4;25.4
2017;feb-17;05/02/2017;Domingo o Feriado;4179.3;1353.0;1000.8;1326.3;760.9;1167.9;971.7;540.1;500.7;11800.7;19.4
2017;feb-17;06/02/2017;Lunes habiles;4664.7;1550.8;1230.7;1690.8;903.4;1237.5;1045.4;603.8;542.8;13469.8;19.3
2017;feb-17;07/02/2017;Martes Habiles;5042.4;1628.6;1306.3;1852.8;1006.6;1289.7;1113.9;647.5;537.6;14425.3;20.0
2017;feb-17;08/02/2017;Miercoles habiles;5416.1;1689.0;1397.2;2011.2;1081.0;1405.8;1277.5;654.1;519.8;15451.8;23.5
2017;feb-17;09/02/2017;Jueves Habiles;5771.4;1715.5;1390.5;2152.4;1003.7;1542.8;1329.6;644.3;536.4;16086.6;25.1
2017;feb-17;10/02/2017;Viernes habiles;6049.2;1801.1;1298.0;2137.6;893.7;1385.2;1086.8;668.6;541.7;15861.9;25.6
2017;feb-17;11/02/2017;Sabado o Semilaborable;5148.5;1666.6;1129.0;1788.5;865.9;1177.5;1088.5;671.1;530.3;14065.9;24.0
2017;feb-17;12/02/2017;Domingo o Feriado;4518.3;1498.4;1020.2;1480.7;865.4;1174.3;1112.7;624.5;525.6;12820.1;22.1
2017;feb-17;13/02/2017;Lunes habiles;5210.5;1698.7;1288.5;1750.8;982.3;1371.8;1204.0;676.5;560.9;14744.1;22.4
2017;feb-17;14/02/2017;Martes Habiles;5511.6;1773.1;1382.8;1880.5;1052.8;1443.6;1279.4;707.7;550.2;15581.6;23.0
2017;feb-17;15/02/2017;Miercoles habiles;6113.1;1853.4;1496.5;2073.1;1080.3;1558.8;1419.0;732.2;569.1;16895.5;26.3
2017;feb-17;16/02/2017;Jueves Habiles;6624.8;1920.0;1480.7;2166.8;1058.4;1659.0;1554.5;728.5;551.3;17744.0;27.0
2017;feb-17;17/02/2017;Viernes habiles;6901.4;1874.8;1457.7;2198.0;1088.1;1758.1;1536.8;644.3;553.2;18012.4;26.9
2017;feb-17;18/02/2017;Sabado o Semilaborable;5833.5;1654.0;1169.4;1621.9;1027.9;1566.5;1446.1;613.1;536.0;15468.4;25.3
2017;feb-17;19/02/2017;Domingo o Feriado;5727.6;1589.1;1109.5;1482.6;988.1;1216.0;1273.9;620.8;553.1;14560.7;25.9
2017;feb-17;20/02/2017;Lunes habiles;7484.9;1985.3;1523.1;2221.1;1190.4;1463.2;1476.1;743.0;546.6;18633.7;27.9
2017;feb-17;21/02/2017;Martes Habiles;7701.2;2156.8;1731.2;2505.0;1279.2;1669.4;1491.1;769.3;552.5;19855.8;29.0
2017;feb-17;22/02/2017;Miercoles habiles;7154.2;2089.5;1766.6;2460.4;1335.8;1681.1;1371.5;746.3;550.3;19155.6;27.2
2017;feb-17;23/02/2017;Jueves Habiles;7926.4;2133.4;1848.6;2679.0;1351.6;1740.1;1423.8;771.1;546.7;20420.8;28.6
2017;feb-17;24/02/2017;Viernes habiles;7862.8;2131.2;1835.3;2726.9;1343.0;1777.5;1536.7;784.9;546.8;20545.1;27.7
2017;feb-17;25/02/2017;Sabado o Semilaborable;7061.7;2080.0;1520.1;2505.6;929.1;1595.7;1506.0;730.1;542.1;18470.5;28.7
2017;feb-17;26/02/2017;Domingo o Feriado;6728.9;1811.3;1321.2;2209.3;925.8;1277.5;1454.6;667.9;589.5;16986.1;29.4
2017;feb-17;27/02/2017;Domingo o Feriado;6512.3;1674.9;1370.0;2151.0;982.5;1366.0;1473.6;628.9;601.9;16761.1;28.8
2017;feb-17;28/02/2017;Domingo o Feriado;6577.6;1726.8;1456.0;2106.6;1036.1;1390.6;1343.9;639.7;562.2;16839.5;28.4
2017;mar-17;01/03/2017;Miercoles habiles;7838.3;1912.3;1687.4;2559.3;1132.8;1644.5;1408.3;649.0;462.8;19294.8;29.9
2017;mar-17;02/03/2017;Jueves Habiles;8045.8;1920.0;1704.0;2736.6;1099.9;1754.1;1572.4;611.6;399.2;19843.6;29.7
2017;mar-17;03/03/2017;Viernes habiles;6025.8;1755.6;1305.2;2172.2;985.2;1408.6;1547.7;601.7;529.6;16331.5;25.4
2017;mar-17;04/03/2017;Sabado o Semilaborable;4818.5;1653.7;1134.0;1674.8;916.6;1210.5;1207.6;588.0;533.4;13737.1;22.4
2017;mar-17;05/03/2017;Domingo o Feriado;4427.2;1437.6;1050.1;1483.6;873.7;1147.1;1197.1;539.3;527.5;12683.2;20.5
2017;mar-17;06/03/2017;Lunes habiles;5843.1;1721.4;1361.4;2003.3;1009.5;1359.9;1371.6;600.2;553.6;15824.0;25.1
2017;mar-17;07/03/2017;Martes Habiles;5744.9;1758.8;1408.5;2130.0;1020.1;1427.5;1509.1;603.2;554.8;16157.0;21.5
2017;mar-17;08/03/2017;Miercoles habiles;6055.8;1769.2;1539.2;2213.8;1105.8;1539.6;1616.2;619.8;558.5;17017.9;25.2
2017;mar-17;09/03/2017;Jueves Habiles;5759.6;1703.2;1445.4;2125.8;1014.0;1600.9;1694.7;595.1;553.9;16492.7;24.8
2017;mar-17;10/03/2017;Viernes habiles;5264.5;1702.0;1304.5;1890.6;960.3;1306.2;1313.6;599.3;545.9;14886.9;20.6
2017;mar-17;11/03/2017;Sabado o Semilaborable;4630.0;1594.4;1147.3;1595.8;904.0;1186.8;1163.6;573.2;535.0;13330.2;19.4
2017;mar-17;12/03/2017;Domingo o Feriado;4143.4;1385.0;1007.2;1320.8;802.5;1095.8;1067.8;537.3;539.5;11899.2;19.4
2017;mar-17;13/03/2017;Lunes habiles;5089.6;1622.4;1288.7;1676.2;941.5;1218.7;958.3;593.9;554.1;13943.5;20.3
2017;mar-17;14/03/2017;Martes Habiles;5498.6;1754.1;1351.1;1893.3;990.5;1274.6;1012.2;614.4;568.3;14957.3;21.5
2017;mar-17;15/03/2017;Miercoles habiles;5435.8;1758.1;1366.9;1793.5;941.9;1358.2;1213.3;611.4;548.2;15027.4;19.6
2017;mar-17;16/03/2017;Jueves Habiles;5121.5;1679.8;1282.0;1724.6;920.3;1240.8;987.5;602.1;547.1;14105.8;17.5
2017;mar-17;17/03/2017;Viernes habiles;5092.9;1702.8;1266.7;1716.7;924.1;1165.4;901.6;606.2;569.5;13945.7;17.2
2017;mar-17;18/03/2017;Sabado o Semilaborable;4549.4;1612.6;1110.6;1511.9;887.5;1124.1;854.0;591.3;556.1;12797.5;17.7
2017;mar-17;19/03/2017;Domingo o Feriado;4227.3;1395.8;1005.6;1319.5;811.5;1036.6;863.2;568.6;548.0;11776.2;19.7
2017;mar-17;20/03/2017;Lunes habiles;5187.3;1675.9;1233.2;1728.3;886.8;1171.8;1075.2;621.2;551.6;14131.3;20.7
2017;mar-17;21/03/2017;Martes Habiles;5420.9;1795.0;1287.3;1850.3;904.1;1193.4;1193.1;633.2;548.3;14825.6;22.4
2017;mar-17;22/03/2017;Miercoles habiles;5565.3;1791.4;1339.0;1917.7;934.4;1208.3;1159.8;645.1;553.0;15113.8;22.8
2017;mar-17;23/03/2017;Jueves Habiles;5674.8;1773.3;1357.3;1936.8;966.2;1244.6;1179.1;657.6;578.6;15368.1;22.5
2017;mar-17;24/03/2017;Domingo o Feriado;5021.6;1585.4;1202.2;1678.4;923.1;1198.1;1164.4;625.2;543.9;13942.3;23.2
2017;mar-17;25/03/2017;Sabado o Semilaborable;5148.3;1633.4;1162.3;1719.1;911.5;1233.6;1213.7;609.8;545.7;14177.4;24.1
2017;mar-17;26/03/2017;Domingo o Feriado;4720.7;1514.9;1040.4;1591.5;841.1;1150.7;1059.8;568.0;546.1;13033.2;23.4
2017;mar-17;27/03/2017;Lunes habiles;5893.2;1792.1;1373.5;2135.3;955.1;1271.2;1214.4;612.3;566.0;15813.0;24.8
